font,ma,pinyin
,Uv,Ø -> v ㊟無讀音或生僻部首
,Uv,
亡,Uw,wáng -> w
至,Uz,ZHì -> z
厂,Vc,CHǎng -> c
瓜,Vg,Guā -> g
丆,Vh,hǎn -> h ㊟古音
业,Vi,yè = iè -> i
彐,Vj,Jì -> j
,Vj,
肀,Vj,
,Vj,Jīn -> J
麻,Vm,Má -> m
食,Vs,SHí -> s
禺,Vv,yǔ = ǚ -> v
,Vz,ZHú -> z
爪,Vz,ZHuǎ -> z
彳,Wc,CHì -> c
,Wd,Duī -> d
缶,Wf,Fǒu -> f
戶,Wh,Hù -> h
已,Wi,yǐ = i
己,Wj,Jǐ -> j
立,Wl,Lì -> l
末,Wm,Mò -> m
女,Wn,Nǚ -> n
丿,Wp,Piě -> p
彡,Ws,SHān -> s
,Ws,
,Wv,Ø -> v ㊟無讀音或生僻部首
未,Ww,wèi -> w
車,Xc,CHē -> c
,Xc,
,Xc,
黑,Xh,Hēi -> h
牙,Xi,yá = iá -> i
皿,Xm,Mǐn -> m
罒,Xm,
鸟,Xn,Niǎo -> n
,Xn,
乌,Xw,wū -> w
足,Xz,Zú -> z
,Xz,Zuǒ -> z
亦,Yi,yì = ì
,Yi,
三,Ys,Sān -> s
月,Yv,yuè = y
,Yv,
,Yv,
王,Yw,wáng -> w
夕,Yx,Xī -> x
